Country,Buddhists,Christians,Folk Religions,Hindus,Jews,Muslims,Other Religions,Unaffiliated
Malawi,< 1.0,83.4, 1.7,< 1.0,< 1.0,12.8,< 1.0, 2.0
Malaysia,15.7, 9.4, 2.2, 5.8,< 1.0,66.1,< 1.0,< 1.0
Maldives,< 1.0,< 1.0,< 1.0,< 1.0,< 1.0,98.4,< 1.0,< 1.0
Mali,< 1.0, 2.4, 2.5,< 1.0,< 1.0,94.6,< 1.0,< 1.0
Malta,< 1.0,97.0,< 1.0,< 1.0,< 1.0,< 1.0,< 1.0, 2.5
Marshall Islands,< 1.0,97.5,< 1.0,< 1.0,< 1.0,< 1.0,< 1.0, 1.5
Martinique,< 1.0,96.5,< 1.0,< 1.0,< 1.0,< 1.0,< 1.0, 2.3
Mauritania,< 1.0,< 1.0,< 1.0,< 1.0,< 1.0,>99.0,< 1.0,< 1.0
Mauritius,< 1.0,32.8,< 1.0,48.4,< 1.0,17.4,< 1.0,< 1.0
Mayotte,< 1.0,< 1.0,< 1.0,< 1.0,< 1.0,98.6,< 1.0,< 1.0
Mexico,< 1.0,94.1,< 1.0,< 1.0,< 1.0,< 1.0,< 1.0, 5.7
Federated States of Micronesia,< 1.0,95.3, 2.7,< 1.0,< 1.0,< 1.0,< 1.0,< 1.0
Moldova,< 1.0,97.4,< 1.0,< 1.0,< 1.0,< 1.0,< 1.0, 1.3
Monaco,< 1.0,86.0,< 1.0,< 1.0, 1.7,< 1.0,< 1.0,11.7
Mongolia,54.4, 2.3, 3.4,< 1.0,< 1.0, 3.4,< 1.0,36.5
Montenegro,< 1.0,76.6,< 1.0,< 1.0,< 1.0,20.3,< 1.0, 3.1
Montserrat,< 1.0,93.5,< 1.0,< 1.0,< 1.0,< 1.0, 1.5, 4.8
Morocco,< 1.0,< 1.0,< 1.0,< 1.0,< 1.0,>99.0,< 1.0,< 1.0
Mozambique,< 1.0,57.8, 7.6,< 1.0,< 1.0,17.2,< 1.0,17.3
Burma (Myanmar),79.8, 7.8, 5.8, 1.7,< 1.0, 4.2,< 1.0,< 1.0
Namibia,< 1.0,97.5,< 1.0,< 1.0,< 1.0,< 1.0,< 1.0, 1.9
Nauru, 1.1,79.0, 8.1,< 1.0,< 1.0,< 1.0, 7.4, 4.5
Nepal,10.0,< 1.0, 3.6,80.6,< 1.0, 5.0,< 1.0,< 1.0
Netherlands,< 1.0,47.3,< 1.0,< 1.0,< 1.0, 6.9,< 1.0,44.3
New Caledonia,< 1.0,85.2,< 1.0,< 1.0,< 1.0, 2.8,< 1.0,10.4
New Zealand, 1.9,52.9,< 1.0, 2.5,< 1.0, 1.6,< 1.0,39.6
Nicaragua,< 1.0,85.3, 1.4,< 1.0,< 1.0,< 1.0,< 1.0,13.0
Niger,< 1.0,< 1.0,< 1.0,< 1.0,< 1.0,98.3,< 1.0,< 1.0
Nigeria,< 1.0,46.9, 1.5,< 1.0,< 1.0,51.1,< 1.0,< 1.0
Niue,< 1.0,96.4,< 1.0,< 1.0,< 1.0,< 1.0,< 1.0, 3.3
North Korea, 1.5, 2.0,12.3,< 1.0,< 1.0,< 1.0,12.9,71.3
Northern Mariana Islands,10.6,81.3, 5.3,< 1.0,< 1.0,< 1.0, 1.1, 1.0
Norway,< 1.0,81.7,< 1.0,< 1.0,< 1.0, 4.9,< 1.0,11.6
Oman,< 1.0, 6.4,< 1.0, 5.7,< 1.0,85.9,< 1.0,< 1.0
Pakistan,< 1.0, 1.6,< 1.0, 1.9,< 1.0,96.5,< 1.0,< 1.0
Palau,< 1.0,86.7,< 1.0,< 1.0,< 1.0,< 1.0,10.4, 1.2
Palestinian territories,< 1.0, 2.0,< 1.0,< 1.0,< 1.0,97.9,< 1.0,< 1.0
Panama,< 1.0,92.7,< 1.0,< 1.0,< 1.0,< 1.0,< 1.0, 5.0
Papua New Guinea,< 1.0,>99.0,< 1.0,< 1.0,< 1.0,< 1.0,< 1.0,< 1.0
Paraguay,< 1.0,96.9, 1.7,< 1.0,< 1.0,< 1.0,< 1.0, 1.1
Peru,< 1.0,95.4,< 1.0,< 1.0,< 1.0,< 1.0,< 1.0, 3.1
Philippines,< 1.0,92.4, 1.6,< 1.0,< 1.0, 5.7,< 1.0,< 1.0
Poland,< 1.0,92.5,< 1.0,< 1.0,< 1.0,< 1.0,< 1.0, 7.3
Portugal,< 1.0,90.5,< 1.0,< 1.0,< 1.0,< 1.0,< 1.0, 8.6
Puerto Rico,< 1.0,96.5,< 1.0,< 1.0,< 1.0,< 1.0,< 1.0, 2.1
Qatar, 3.8,13.7,< 1.0,15.9,< 1.0,65.2,< 1.0,< 1.0
Reunion,< 1.0,87.6,< 1.0, 4.5,< 1.0, 4.2, 1.1, 2.0
Romania,< 1.0,>99.0,< 1.0,< 1.0,< 1.0,< 1.0,< 1.0,< 1.0
Russia,< 1.0,72.9,< 1.0,< 1.0,< 1.0,11.4,< 1.0,15.2
Rwanda,< 1.0,93.8,< 1.0,< 1.0,< 1.0, 2.2,< 1.0, 3.0
St. Helena,< 1.0,96.5,< 1.0,< 1.0,< 1.0,< 1.0,< 1.0, 3.3
St. Kitts and Nevis,< 1.0,94.6, 1.3, 1.5,< 1.0,< 1.0,< 1.0, 1.6
St. Lucia,< 1.0,91.5,< 1.0,< 1.0,< 1.0,< 1.0, 1.9, 5.8
St. Pierre and Miquelon,< 1.0,94.7,< 1.0,< 1.0,< 1.0,< 1.0, 1.3, 3.8
St. Vincent and the Grenadines,< 1.0,88.7, 2.0, 3.4,< 1.0, 1.5, 2.0, 2.5
Samoa,< 1.0,96.9,< 1.0,< 1.0,< 1.0,< 1.0,< 1.0, 2.4
San Marino,< 1.0,91.6,< 1.0,< 1.0,< 1.0,< 1.0,< 1.0, 7.2
Sao Tome and Principe,< 1.0,81.1, 3.1,< 1.0,< 1.0,< 1.0, 2.5,13.2
Saudi Arabia,< 1.0, 4.4,< 1.0, 1.3,< 1.0,92.7,< 1.0,< 1.0
Senegal,< 1.0, 3.3,< 1.0,< 1.0,< 1.0,96.6,< 1.0,< 1.0
Serbia,< 1.0,91.6,< 1.0,< 1.0,< 1.0, 5.0,< 1.0, 3.3
Seychelles,< 1.0,94.0,< 1.0, 2.1,< 1.0, 1.1,< 1.0, 2.1
Sierra Leone,< 1.0,20.4,< 1.0,< 1.0,< 1.0,78.5,< 1.0,< 1.0
Singapore,32.2,17.7, 2.4, 6.5,< 1.0,16.1, 8.5,16.5
Slovakia,< 1.0,83.6,< 1.0,< 1.0,< 1.0,< 1.0,< 1.0,15.8
Slovenia,< 1.0,77.2,< 1.0,< 1.0,< 1.0, 3.9,< 1.0,18.8
Solomon Islands,< 1.0,97.4, 1.3,< 1.0,< 1.0,< 1.0,< 1.0,< 1.0
Somalia,< 1.0,< 1.0,< 1.0,< 1.0,< 1.0,>99.0,< 1.0,< 1.0
South Africa,< 1.0,80.8,< 1.0, 1.0,< 1.0, 1.9,< 1.0,15.3
South Korea,21.9,30.1,< 1.0,< 1.0,< 1.0,< 1.0,< 1.0,46.6
Spain,< 1.0,75.2,< 1.0,< 1.0,< 1.0, 3.3,< 1.0,21.0
Sri Lanka,68.6, 7.2,< 1.0,13.7,< 1.0,10.4,< 1.0,< 1.0
