Region,Country,Christians,Muslims,Unaffiliated,Hindus,Buddhists,Folk Religions,Other Religions,Jews,All Religions
Africa,Seychelles,"90,000","<10,000","<10,000","<10,000","<10,000","<10,000","<10,000","<10,000","100,000"
Africa,Sierra Leone,"1,460,000","5,620,000","<10,000","<10,000","<10,000","60,000","<10,000","<10,000","7,160,000"
Asia,Singapore,"1,040,000","950,000","970,000","380,000","1,890,000","140,000","500,000","<10,000","5,870,000"
Europe,Slovakia,"4,640,000","20,000","880,000","<10,000","<10,000","<10,000","<10,000","<10,000","5,550,000"
Europe,Slovenia,"1,550,000","80,000","380,000","<10,000","<10,000","<10,000","<10,000","<10,000","2,010,000"
Asia,Solomon Islands,"670,000","<10,000","<10,000","<10,000","<10,000","<10,000","<10,000","<10,000","680,000"
Africa,Somalia,"<10,000","12,110,000","<10,000","<10,000","<10,000","<10,000","<10,000","<10,000","12,140,000"
Africa,South Africa,"43,530,000","1,010,000","8,220,000","540,000","90,000","260,000","180,000","60,000","53,890,000"
Asia,"Korea, South","15,000,000","150,000","23,250,000","20,000","10,950,000","410,000","110,000","<10,000","49,890,000"
Europe,Spain,"36,410,000","1,610,000","10,190,000","40,000","20,000","50,000","20,000","60,000","48,400,000"
Asia,Sri Lanka,"1,620,000","2,340,000","<10,000","3,090,000","15,440,000","<10,000","<10,000","<10,000","22,510,000"
Africa,Sudan,"2,280,000","38,430,000","440,000","<10,000","<10,000","1,200,000","<10,000","<10,000","42,360,000"
South America,Suriname,"300,000","80,000","40,000","110,000","<10,000","30,000","10,000","<10,000","580,000"
Africa,Swaziland,"1,180,000","<10,000","130,000","<10,000","<10,000","10,000","<10,000","<10,000","1,330,000"
Europe,Sweden,"6,210,000","640,000","2,860,000","30,000","60,000","20,000","20,000","10,000","9,860,000"
Europe,Switzerland,"5,530,000","440,000","1,800,000","40,000","50,000","<10,000","10,000","20,000","7,900,000"
Africa,Syria,"1,260,000","22,590,000","500,000","<10,000","<10,000","<10,000","<10,000","<10,000","24,350,000"
Asia,Taiwan*,"1,350,000","10,000","3,190,000","<10,000","4,930,000","10,190,000","3,610,000","<10,000","23,280,000"
Asia,Tajikistan,"150,000","8,130,000","130,000","<10,000","<10,000","<10,000","<10,000","<10,000","8,430,000"
Africa,Tanzania,"38,740,000","20,950,000","1,000,000","50,000","<10,000","670,000","20,000","<10,000","61,440,000"
Asia,Thailand,"650,000","4,290,000","200,000","80,000","66,120,000","60,000","<10,000","<10,000","71,420,000"
Asia,Timor-Leste,"1,520,000","<10,000","<10,000","<10,000","<10,000","<10,000","<10,000","<10,000","1,530,000"
Africa,Togo,"3,070,000","1,020,000","450,000","<10,000","<10,000","2,680,000","40,000","<10,000","7,260,000"
Asia,Tokelau,"<10,000","<10,000","<10,000","<10,000","<10,000","<10,000","<10,000","<10,000","<10,000"
Asia,Tonga,"130,000","<10,000","<10,000","<10,000","<10,000","<10,000","<10,000","<10,000","130,000"
South America,Trinidad and Tobago,"910,000","80,000","30,000","310,000","<10,000","30,000","20,000","<10,000","1,370,000"
Africa,Tunisia,"20,000","11,440,000","30,000","<10,000","<10,000","<10,000","<10,000","<10,000","11,490,000"
Asia,Turkey,"380,000","79,090,000","960,000","<10,000","40,000","30,000","170,000","30,000","80,680,000"
Asia,Turkmenistan,"370,000","5,340,000","30,000","<10,000","<10,000","<10,000","<10,000","<10,000","5,740,000"
South America,Turks and Caicos Islands,"30,000","<10,000","<10,000","<10,000","<10,000","<10,000","<10,000","<10,000","40,000"
Asia,Tuvalu,"<10,000","<10,000","<10,000","<10,000","<10,000","<10,000","<10,000","<10,000","10,000"
Africa,Uganda,"39,390,000","5,550,000","230,000","140,000","<10,000","390,000","50,000","<10,000","45,760,000"
Europe,Ukraine,"36,860,000","730,000","5,370,000","30,000","20,000","20,000","<10,000","40,000","43,070,000"
Africa,United Arab Emirates,"1,110,000","6,420,000","100,000","660,000","210,000","<10,000","60,000","<10,000","8,560,000"
Europe,United Kingdom,"38,020,000","3,950,000","20,070,000","1,030,000","380,000","90,000","500,000","270,000","64,310,000"
North America,US,"252,870,000","3,850,000","62,310,000","2,510,000","4,170,000","850,000","2,770,000","5,700,000","335,030,000"
South America,U.S. Virgin Islands,"110,000","<10,000","<10,000","<10,000","<10,000","<10,000","<10,000","<10,000","110,000"
South America,Uruguay,"1,990,000","<10,000","1,450,000","<10,000","<10,000","30,000","10,000","<10,000","3,490,000"
Asia,Uzbekistan,"620,000","30,180,000","240,000","<10,000","10,000","20,000","<10,000","10,000","31,080,000"
Asia,Vanuatu,"280,000","<10,000","<10,000","<10,000","<10,000","10,000","<10,000","<10,000","300,000"
South America,Venezuela,"29,540,000","100,000","3,220,000","<10,000","<10,000","120,000","30,000","<10,000","33,010,000"
Asia,Vietnam,"8,070,000","180,000","28,760,000","<10,000","15,560,000","43,360,000","390,000","<10,000","96,320,000"
Asia,Wallis and Futuna,"10,000","<10,000","<10,000","<10,000","<10,000","<10,000","<10,000","<10,000","10,000"
Africa,Western Sahara,"<10,000","610,000","<10,000","<10,000","<10,000","<10,000","<10,000","<10,000","610,000"
Africa,Yemen,"50,000","32,060,000","30,000","200,000","<10,000","<10,000","<10,000","<10,000","32,360,000"
Africa,Zambia,"17,510,000","110,000","100,000","20,000","<10,000","60,000","170,000","<10,000","17,970,000"
Africa,Zimbabwe,"12,720,000","140,000","1,110,000","<10,000","<10,000","580,000","40,000","10,000","14,610,000"
Africa,South Sudan,"7,530,000","770,000","60,000","<10,000","<10,000","4,090,000","<10,000","<10,000","12,450,000"
South America,Curacao,"160,000","<10,000","<10,000","<10,000","<10,000","<10,000","<10,000","<10,000","170,000"
South America,Sint Maarten,"50,000","<10,000","<10,000","<10,000","<10,000","<10,000","<10,000","<10,000","50,000"
South America,Caribbean Netherlands,"20,000","<10,000","<10,000","<10,000","<10,000","<10,000","<10,000","<10,000","20,000"
